origin,destination,distance_km,duration_min,time_of_day,hour,weather,day_type,traffic,service_type,price
Madhapur,Abids,13.94,29,Morning,6,Clear,Weekday,Light,Premium,303
Paradise Circle,Madhapur,14.19,29,Afternoon,12,Clear,Weekday,Light,Economy,196
Gachibowli,Jubilee Hills,8.36,19,Afternoon,16,Cloudy,Weekday,Light,Economy,133
Dilsukhnagar,Financial District,25.9,67,Evening,17,Clear,Weekend,Moderate,Standard,668
Inorbit Mall,Koti,14.79,40,Morning,7,Cloudy,Weekday,Moderate,Economy,292
Miyapur,KPHB,2.97,12,Afternoon,15,Light Rain,Weekend,Moderate,Economy,95
Hitech City,Shamshabad Airport,30.82,58,Morning,6,Clear,Weekday,Light,Economy,371
Miyapur,Charminar,24.75,104,Night,4,Rainy,Weekday,Heavy,Economy,735
LB Nagar,Begumpet,19.08,81,Night,22,Clear,Weekend,Heavy,Premium,777
Kukatpally,Miyapur,5.64,19,Evening,18,Thunderstorm,Weekday,Moderate,Economy,205
Film Nagar,Inorbit Mall,5.44,27,Evening,17,Clear,Weekend,Heavy,Standard,237
Film Nagar,Golconda Fort,4.5,16,Morning,10,Clear,Weekday,Moderate,Economy,95
Abids,Financial District,18.48,49,Afternoon,14,Clear,Weekend,Moderate,Economy,311
Banjara Hills,Financial District,12.11,53,Evening,18,Rainy,Weekend,Heavy,Premium,675
Begumpet,Ameerpet,2.39,9,Afternoon,16,Rainy,Weekend,Light,Economy,82
Film Nagar,Tank Bund,8.06,24,Afternoon,12,Clear,Weekend,Moderate,Premium,252
Lingampally,Charminar,28.76,74,Evening,17,Cloudy,Weekday,Moderate,Economy,579
LB Nagar,Charminar,11.28,24,Afternoon,16,Clear,Weekend,Light,Standard,216
Botanical Garden,Tank Bund,12.01,53,Evening,19,Thunderstorm,Weekday,Heavy,Standard,511
Charminar,Lingampally,28.76,120,Afternoon,12,Clear,Weekday,Heavy,Premium,848
Gachibowli,Botanical Garden,6.19,30,Evening,18,Clear,Weekday,Heavy,Premium,306
Secunderabad,Koti,8.72,26,Evening,20,Clear,Weekday,Moderate,Standard,177
Dilsukhnagar,Hitech City,23.42,61,Night,4,Thunderstorm,Holiday,Moderate,Premium,1162
Banjara Hills,Miyapur,14.9,65,Evening,17,Clear,Weekday,Heavy,Standard,475
Koti,Inorbit Mall,14.79,40,Morning,6,Cloudy,Weekday,Moderate,Economy,255
LB Nagar,Miyapur,33.78,140,Evening,18,Clear,Weekday,Heavy,Economy,864
Miyapur,Abids,21.23,90,Morning,11,Clear,Weekday,Heavy,Standard,483
Abids,Gachibowli,18.7,80,Morning,7,Rainy,Weekday,Heavy,Standard,650
Botanical Garden,Film Nagar,6.93,17,Morning,5,Rainy,Weekday,Light,Economy,143
Lakdikapul,Inorbit Mall,10.24,23,Afternoon,15,Clear,Weekday,Light,Economy,152
Begumpet,Film Nagar,7.87,24,Afternoon,12,Rainy,Weekday,Moderate,Economy,178
Film Nagar,Kukatpally,10.81,48,Afternoon,12,Clear,Weekend,Heavy,Economy,257
Hitech City,Madhapur,2.18,10,Evening,19,Cloudy,Weekday,Moderate,Premium,136
Uppal,Koti,11.48,25,Afternoon,15,Clear,Weekday,Light,Economy,164
Ameerpet,Charminar,11.62,51,Morning,5,Clear,Weekday,Heavy,Standard,278
Shamshabad Airport,Abids,22.96,97,Morning,7,Clear,Weekday,Heavy,Standard,599
Ameerpet,Madhapur,7.61,23,Afternoon,15,Thunderstorm,Weekend,Moderate,Premium,342
Inorbit Mall,Madhapur,1.96,10,Afternoon,16,Clear,Weekend,Moderate,Standard,77
Charminar,LB Nagar,11.28,50,Evening,17,Clear,Weekday,Heavy,Standard,358
Jubilee Hills,Charminar,12.96,57,Morning,7,Clear,Weekday,Heavy,Standard,387
Secunderabad,Botanical Garden,14.76,30,Night,21,Clear,Weekday,Light,Economy,192
Madhapur,Lingampally,12.16,34,Morning,7,Clear,Weekend,Moderate,Standard,326
Paradise Circle,Botanical Garden,14.24,29,Afternoon,13,Clear,Weekday,Light,Premium,302
Gachibowli,Secunderabad,20.6,54,Morning,11,Rainy,Weekend,Moderate,Economy,450
Abids,Hitech City,15.76,32,Morning,6,Cloudy,Weekday,Light,Premium,359
Secunderabad,Begumpet,5.07,14,Morning,5,Clear,Weekday,Light,Standard,106
Madhapur,Begumpet,9.64,22,Afternoon,16,Clear,Weekend,Light,Economy,158
Koti,Abids,1.62,11,Morning,7,Clear,Weekday,Heavy,Economy,82
Hitech City,Begumpet,11.81,33,Morning,8,Cloudy,Weekday,Moderate,Economy,241
Abids,Secunderabad,7.49,23,Afternoon,13,Cloudy,Weekday,Moderate,Premium,226
Paradise Circle,Shamshabad Airport,30.48,78,Night,22,Clear,Weekday,Moderate,Economy,541
Miyapur,Golconda Fort,17.62,75,Morning,9,Clear,Weekday,Heavy,Premium,672
Gachibowli,Financial District,3.81,12,Afternoon,15,Clear,Weekday,Light,Premium,116
Lingampally,Miyapur,7.79,18,Afternoon,16,Rainy,Weekend,Light,Standard,198
Secunderabad,Uppal,9.67,28,Morning,7,Cloudy,Weekend,Moderate,Economy,235
Financial District,Kukatpally,13.65,60,Evening,19,Clear,Weekend,Heavy,Premium,620
Uppal,Charminar,13.22,58,Morning,10,Clear,Weekday,Heavy,Economy,260
Hitech City,Mehdipatnam,11.67,25,Night,23,Clear,Weekday,Light,Standard,238
Charminar,Jubilee Hills,12.96,36,Afternoon,16,Cloudy,Weekend,Moderate,Standard,304
Dilsukhnagar,Madhapur,21.56,57,Night,0,Clear,Weekday,Moderate,Economy,401
Hitech City,Shamshabad Airport,30.82,58,Afternoon,13,Clear,Weekday,Light,Standard,464
Charminar,Ameerpet,11.62,25,Morning,10,Clear,Weekday,Light,Economy,162
Gachibowli,Film Nagar,10.32,46,Afternoon,14,Clear,Weekend,Heavy,Premium,380
LB Nagar,Charminar,11.28,50,Evening,18,Cloudy,Weekday,Heavy,Premium,504
Abids,Jubilee Hills,10.4,23,Evening,20,Clear,Weekday,Light,Premium,226
Abids,Banjara Hills,6.93,33,Afternoon,14,Rainy,Weekday,Heavy,Standard,245
LB Nagar,Madhapur,26.8,51,Afternoon,16,Rainy,Weekday,Light,Standard,507
Lakdikapul,Jubilee Hills,7.06,17,Morning,11,Thunderstorm,Weekday,Light,Economy,150
Koti,Dilsukhnagar,6.59,31,Evening,18,Clear,Weekday,Heavy,Economy,200
Mehdipatnam,Kukatpally,13.72,60,Evening,17,Clear,Weekday,Heavy,Premium,578
Mehdipatnam,Financial District,13.72,29,Morning,5,Clear,Weekday,Light,Standard,229
Hitech City,Lakdikapul,12.41,26,Afternoon,13,Rainy,Weekday,Light,Economy,221
Charminar,Lingampally,28.76,74,Afternoon,14,Light Rain,Weekday,Moderate,Standard,588
Madhapur,Mehdipatnam,10.15,29,Afternoon,16,Clear,Weekday,Moderate,Premium,273
Lingampally,Abids,26.08,109,Morning,8,Clear,Weekday,Heavy,Premium,902
Jubilee Hills,Charminar,12.96,27,Afternoon,13,Thunderstorm,Weekday,Light,Standard,309
Banjara Hills,Koti,8.2,38,Morning,7,Clear,Weekday,Heavy,Premium,333
Gachibowli,Lakdikapul,15.39,31,Afternoon,12,Rainy,Weekend,Light,Economy,292
Koti,Uppal,11.48,25,Morning,11,Cloudy,Weekday,Light,Premium,276
Uppal,Lingampally,35.59,90,Morning,6,Clear,Weekend,Moderate,Standard,674
Miyapur,Paradise Circle,19.03,51,Afternoon,15,Rainy,Weekday,Moderate,Standard,457
Charminar,Jubilee Hills,12.96,57,Morning,8,Rainy,Weekday,Heavy,Premium,618
Banjara Hills,Miyapur,14.9,65,Morning,8,Cloudy,Weekday,Heavy,Economy,384
Paradise Circle,Mehdipatnam,10.08,29,Afternoon,12,Clear,Weekday,Moderate,Standard,208
Begumpet,Banjara Hills,5.94,19,Evening,18,Clear,Weekday,Moderate,Standard,183
Charminar,Miyapur,24.75,47,Afternoon,14,Clear,Weekday,Light,Economy,321
Charminar,Film Nagar,10.65,31,Evening,17,Rainy,Weekday,Moderate,Economy,296
Gachibowli,Secunderabad,20.6,40,Morning,6,Clear,Weekend,Light,Standard,342
Paradise Circle,Shamshabad Airport,30.48,127,Morning,8,Clear,Weekday,Heavy,Premium,1045
Tank Bund,Secunderabad,4.12,12,Evening,18,Clear,Holiday,Light,Economy,128
Koti,Tank Bund,6.0,19,Morning,7,Rainy,Weekday,Moderate,Economy,181
Jubilee Hills,Secunderabad,12.79,36,Night,23,Clear,Weekday,Moderate,Premium,395
Shamshabad Airport,Secunderabad,30.38,127,Evening,19,Clear,Weekday,Heavy,Economy,774
Dilsukhnagar,Secunderabad,10.89,24,Night,1,Clear,Weekday,Light,Standard,227
Lakdikapul,Madhapur,10.61,23,Afternoon,15,Cloudy,Weekday,Light,Economy,154
Banjara Hills,Shamshabad Airport,25.34,48,Afternoon,13,Cloudy,Weekday,Light,Standard,387
Kukatpally,Banjara Hills,10.47,30,Morning,10,Clear,Weekend,Moderate,Economy,209
Lakdikapul,Ameerpet,4.9,25,Evening,20,Clear,Weekday,Heavy,Economy,122
Golconda Fort,LB Nagar,21.87,57,Afternoon,12,Clear,Weekday,Moderate,Economy,340
Tank Bund,Secunderabad,4.12,15,Evening,17,Clear,Weekday,Moderate,Economy,122
Tank Bund,Botanical Garden,12.01,26,Morning,6,Rainy,Weekday,Light,Premium,341
Tank Bund,Madhapur,11.81,52,Evening,18,Clear,Weekday,Heavy,Standard,362
Begumpet,Uppal,14.46,40,Morning,5,Clear,Weekend,Moderate,Standard,304
Banjara Hills,Shamshabad Airport,25.34,48,Morning,8,Clear,Weekend,Light,Standard,524
Miyapur,Jubilee Hills,12.28,54,Morning,8,Clear,Weekday,Heavy,Standard,372
LB Nagar,Mehdipatnam,17.26,74,Morning,9,Clear,Weekday,Heavy,Economy,410
Shamshabad Airport,Koti,21.66,57,Morning,8,Clear,Weekday,Moderate,Standard,502
Koti,Madhapur,15.28,42,Evening,18,Clear,Weekend,Moderate,Standard,434
Madhapur,Lakdikapul,10.61,47,Afternoon,16,Rainy,Holiday,Heavy,Standard,396
Gachibowli,Dilsukhnagar,26.34,110,Evening,17,Clear,Weekday,Heavy,Premium,1026
Secunderabad,Hitech City,16.87,45,Afternoon,12,Rainy,Weekday,Moderate,Economy,343
Abids,Kukatpally,16.13,70,Afternoon,12,Clear,Weekend,Heavy,Standard,403
Gachibowli,KPHB,9.68,44,Morning,9,Cloudy,Weekday,Heavy,Economy,262
Paradise Circle,Jubilee Hills,12.35,26,Night,0,Clear,Weekend,Light,Economy,240
Paradise Circle,LB Nagar,16.06,44,Evening,17,Clear,Weekday,Moderate,Standard,394
Lakdikapul,Dilsukhnagar,11.01,24,Afternoon,14,Clear,Weekday,Light,Economy,160
Lingampally,Miyapur,7.79,18,Morning,11,Clear,Weekend,Light,Standard,151
Lakdikapul,Gachibowli,15.39,42,Afternoon,14,Clear,Weekday,Moderate,Economy,242
KPHB,Inorbit Mall,8.45,19,Afternoon,16,Clear,Weekday,Light,Premium,192
Hitech City,Tank Bund,13.89,38,Morning,10,Thunderstorm,Weekend,Moderate,Economy,346
Film Nagar,Begumpet,7.87,24,Afternoon,15,Clear,Weekday,Moderate,Economy,144
Financial District,Uppal,29.75,124,Morning,7,Light Rain,Weekday,Heavy,Standard,925
Lingampally,Begumpet,21.15,41,Afternoon,13,Thunderstorm,Weekday,Light,Economy,401
Secunderabad,Miyapur,19.59,52,Evening,18,Clear,Weekday,Moderate,Standard,485
Banjara Hills,Hitech City,8.83,26,Evening,18,Clear,Weekday,Moderate,Economy,204
Jubilee Hills,Dilsukhnagar,18.07,36,Morning,5,Clear,Weekday,Light,Standard,294
Uppal,Film Nagar,19.54,83,Evening,17,Cloudy,Weekday,Heavy,Standard,588
Financial District,LB Nagar,30.81,79,Morning,6,Clear,Weekday,Moderate,Premium,681
Paradise Circle,Botanical Garden,14.24,29,Afternoon,14,Clear,Weekday,Light,Standard,235
Miyapur,Shamshabad Airport,38.65,71,Morning,6,Clear,Weekday,Light,Economy,502
Ameerpet,Hitech City,9.75,22,Morning,6,Clear,Weekend,Light,Economy,158
Gachibowli,Inorbit Mall,5.32,14,Afternoon,13,Clear,Weekday,Light,Standard,112
Miyapur,Secunderabad,19.59,39,Evening,20,Clear,Weekday,Light,Standard,309
KPHB,Botanical Garden,5.96,29,Evening,18,Rainy,Weekend,Heavy,Premium,394
Miyapur,Paradise Circle,19.03,38,Afternoon,13,Cloudy,Weekday,Light,Standard,316
Inorbit Mall,Ameerpet,8.14,19,Afternoon,14,Clear,Weekday,Light,Economy,122
Mehdipatnam,Miyapur,18.14,49,Evening,18,Clear,Weekday,Moderate,Premium,573
Lakdikapul,KPHB,15.5,42,Afternoon,13,Rainy,Weekday,Moderate,Premium,497
Abids,Film Nagar,8.42,25,Evening,19,Clear,Weekday,Moderate,Economy,201
Banjara Hills,Golconda Fort,6.22,20,Morning,8,Clear,Weekday,Moderate,Premium,233
Secunderabad,Jubilee Hills,12.79,56,Evening,18,Cloudy,Weekday,Heavy,Economy,354
Lingampally,Lakdikapul,22.75,96,Morning,6,Clear,Holiday,Heavy,Premium,855
Secunderabad,Financial District,21.72,42,Morning,5,Thunderstorm,Weekday,Light,Economy,415
Ameerpet,Miyapur,13.86,60,Evening,19,Rainy,Holiday,Heavy,Economy,584
Miyapur,Botanical Garden,7.72,24,Afternoon,12,Clear,Weekday,Moderate,Standard,174
Hitech City,Dilsukhnagar,23.42,61,Morning,11,Cloudy,Weekday,Moderate,Standard,446
Film Nagar,Secunderabad,11.99,53,Evening,18,Clear,Weekday,Heavy,Premium,478
Kukatpally,Botanical Garden,5.28,18,Morning,5,Thunderstorm,Weekday,Moderate,Premium,228
Banjara Hills,Secunderabad,9.94,45,Evening,19,Rainy,Weekday,Heavy,Standard,407
Jubilee Hills,Lingampally,15.83,43,Morning,7,Clear,Weekend,Moderate,Premium,538
Koti,Golconda Fort,10.76,23,Morning,6,Clear,Weekend,Light,Standard,198
Charminar,Golconda Fort,10.63,31,Morning,11,Rainy,Weekend,Moderate,Premium,402
Charminar,Paradise Circle,11.9,34,Evening,18,Cloudy,Holiday,Moderate,Premium,530
Botanical Garden,Tank Bund,12.01,34,Evening,19,Rainy,Weekday,Moderate,Economy,322
Lakdikapul,Paradise Circle,7.82,36,Morning,8,Clear,Weekday,Heavy,Standard,238
Ameerpet,Abids,7.55,35,Morning,9,Clear,Weekday,Heavy,Premium,309
LB Nagar,Abids,12.88,36,Evening,18,Clear,Weekend,Moderate,Economy,297
Ameerpet,Mehdipatnam,6.16,16,Afternoon,16,Cloudy,Weekday,Light,Standard,125
KPHB,Abids,18.53,79,Evening,17,Cloudy,Weekday,Heavy,Economy,507
Tank Bund,Jubilee Hills,9.2,42,Afternoon,16,Clear,Weekend,Heavy,Standard,255
Inorbit Mall,Koti,14.79,30,Night,22,Rainy,Weekend,Light,Standard,374
Financial District,Golconda Fort,9.17,21,Morning,6,Thunderstorm,Weekday,Light,Premium,285
Uppal,Lingampally,35.59,66,Afternoon,12,Clear,Weekend,Light,Economy,506
Financial District,Madhapur,8.29,38,Evening,18,Clear,Weekday,Heavy,Economy,238
Film Nagar,Ameerpet,5.57,18,Evening,18,Cloudy,Weekday,Moderate,Standard,183
Tank Bund,LB Nagar,15.78,32,Morning,6,Rainy,Weekday,Light,Economy,278
Lingampally,KPHB,10.33,46,Afternoon,16,Rainy,Weekend,Heavy,Standard,370
Koti,Lingampally,27.39,115,Evening,18,Thunderstorm,Weekday,Heavy,Standard,1154
Secunderabad,Paradise Circle,0.56,6,Afternoon,14,Cloudy,Weekday,Light,Standard,61
Ameerpet,LB Nagar,19.92,85,Morning,10,Clear,Weekday,Heavy,Premium,604
